	Country.Name	FSI	gdp_growth	employment	water_access	real_interest_rate	energy_use	death_rate	internet_users	net_flow_ext_debt	tax_rate	infant_deaths	electro_access	import_good_serv	urban_population	school_primary_enr	sanit_facil	tax_income	sci_articles	employment
50	Egypt, Arab Rep.	87.6	5.1389858321566395	44.2000007629395	98.3	0.8108120981684791	887.650178884961	6.645	21.6	2042652000.0	43.1	49304	99.6	26.5871042599039	43.019	112.26042175293001	94.7	76617500000.0	2431.2	44.2000007629395
51	Eritrea	93.3	2.19418976921348	78.4000015258789	56.4	5.02405073343827	158.75956145259	7.445	0.61	-2657000.0	84.5	6619	32.5	23.3453107419079	20.572	105.25319197518485	14.6	1353034743860.0757	2.6	78.4000015258789
52	Spain	43.5	0.013804782633315001	47.2000007629395	100.0	5.02405073343827	2740.05322853517	8.2	65.8	4168681745.762712	55.3	1905	100.0	26.8248230893698	78.442	105.478340148926	99.9	62702000000.0	22019.9	47.2000007629395
53	Estonia	50.7	2.47587385141064	51.0	99.5	6.14216699876765	4222.7371899585	11.9	74.1	4168681745.762712	48.8	59	100.0	68.7567560217824	68.094	98.4494781494141	97.2	385500000.0	526.5	51.0
54	Ethiopia	98.8	12.550538328899801	79.3000030517578	47.8	5.02405073343827	469.74933616610497	8.461	0.75	2023333000.0	30.3	149585	23.0	32.5221325975901	17.319000000000003	105.25319197518485	21.7	8353900000.0	169.5	79.3000030517578
55	Finland	19.3	2.99235533610533	55.2000007629395	100.0	5.02405073343827	6807.770401793499	9.5	86.89	4168681745.762712	40.8	156	100.0	37.4120791020844	83.55799999999999	99.0603713989258	97.6	9818000000.0	4868.5	55.2000007629395
56	Fiji	80.5	2.95467315574027	50.2999992370605	95.1	3.12757347911507	2572.608479264877	6.632999999999999	20.0	14461000.0	39.3	390	55.8	63.8930956897042	51.828	105.25319197518485	89.6	1353034743860.0757	18.7	50.2999992370605
57	France	34.9	1.96565781885573	50.9000015258789	100.0	5.02405073343827	4016.11567116392	8.5	77.28	4168681745.762712	65.8	2745	100.0	27.925209196384696	78.345	108.082641601563	98.7	183110000000.0	31367.6	50.9000015258789
58	Micronesia, Fed. Sts.	70.6	2.5305788185082	58.538823621413286	89.2	11.3785441498457	2572.608479264877	6.247000000000001	20.0	4168681745.762712	58.7	81	55.8	47.216126759295705	22.298000000000002	105.25319197518485	53.1	1353034743860.0757	2.3	58.538823621413286
59	Gabon	75.3	7.44145313595101	47.9000015258789	91.1	5.02405073343827	1370.61719811977	9.648	7.23	241608000.0	43.5	2032	81.6	29.4014483538055	85.697	105.25319197518485	40.9	1353034743860.0757	16.9	47.9000015258789
60	United Kingdom	33.9	1.91137766469444	57.0	100.0	-2.58856325562487	3209.11102626383	8.9	85.0	4168681745.762712	36.1	3917	100.0	31.0655719295544	81.30199999999999	106.933799743652	99.2	192121000000.0	45978.0	57.0
61	Georgia	90.4	6.25302862624761	53.5	96.8	6.726996965296429	701.197673374057	11.247	26.9	1110835000.0	15.3	939	100.0	52.764464309988796	52.869	109.268699645996	89.3	1695000000.0	121.1	53.5
62	Ghana	67.1	7.899740292681679	66.0	83.1	5.02405073343827	380.926446518413	9.297	7.8	2229718000.0	32.5	39436	60.5	45.901097808525	50.713	105.25319197518485	13.7	2194970487.0	121.4	66.0
